Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jalen Brunson,PG,24,DAL,68,12,25.0,4.8,9.2,.523,1.2,2.9,.405,3.6,6.3,.578,.588,1.8,2.2,.795,0.4,3.0,3.4,3.5,0.5,0.0,1.2,1.6,12.6
Trey Burke,PG,28,DAL,62,1,14.7,2.4,5.7,.428,0.9,2.6,.354,1.5,3.0,.492,.510,0.8,0.9,.895,0.2,0.7,0.9,1.3,0.6,0.1,0.5,1.0,6.6
Luka Dončić,PG,21,DAL,66,66,34.3,9.8,20.5,.479,2.9,8.3,.350,6.9,12.2,.567,.550,5.2,7.1,.730,0.8,7.2,8.0,8.6,1.0,0.5,4.3,2.3,27.7
Tyrell Terry,PG,20,DAL,11,0,5.1,0.5,1.5,.313,0.0,0.6,.000,0.5,0.8,.556,.313,0.1,0.3,.333,0.0,0.5,0.5,0.5,0.5,0.0,0.2,0.2,1.0
